PLAYER,TEAM,GP,MP,GV-MP,GRAV,PERIM_GV-MP,PERIM_GRAV,INTERIOR_GV-MP,INTERIOR_GRAV,OFF_POS_PERIM_GV-MP,OFF_POS_PERIM_GRAV,OFF_POS_INTERIOR_GV-MP,OFF_POS_INTERIOR_GRAV,PTS,REB,AST
De'Aaron Fox,SAS,71,31.0,472.8,5.5,133.0,3.1,35.2,-8.8,257.1,9.2,47.4,-6.4,18.4,3.7,6.2
Quentin Grimes,PHI,74,29.5,511.0,5.5,78.2,4.2,19.6,-8.8,359.6,7.0,53.6,-6.0,13.4,3.7,3.3
Nickeil Alexander-Walker,ATL,78,33.4,581.7,5.5,108.9,5.6,28.7,-17.3,326.7,8.8,117.4,-10.6,20.8,3.4,3.7
LaMelo Ball,CHA,72,28.0,508.8,5.3,213.4,5.6,29.4,-14.1,228.5,9.0,37.5,-13.8,20.1,4.8,7.1
Brandon Miller,CHA,65,30.3,502.7,5.1,99.4,3.0,24.5,-11.0,293.6,8.6,85.2,-10.8,20.2,4.9,3.3
Matas Buzelis,CHI,76,29.4,516.1,4.8,72.0,2.3,24.0,-10.7,350.8,6.9,69.3,-6.8,16.4,5.9,2.1
Cedric Coward,MEM,61,25.9,373.7,4.8,60.1,3.7,18.9,-5.1,244.6,6.8,50.1,-2.6,13.6,5.9,2.8
Moses Moody,GSW,60,25.7,369.9,4.7,36.5,-1.2,8.8,-15.5,282.9,6.9,41.7,-9.4,12.1,3.3,1.6
Derrick White,BOS,77,34.1,674.1,4.6,187.7,4.9,24.5,-21.1,395.8,6.5,66.2,-16.6,16.5,4.4,5.4
Vít Krejčí,POR,65,21.4,327.4,4.5,32.8,3.9,6.8,-16.4,237.0,5.2,50.7,-10.7,8.5,2.3,1.5
Ace Bailey,UTA,71,27.5,458.8,4.5,42.3,-1.2,18.0,-8.5,332.8,6.5,65.7,-5.9,13.8,4.1,1.8
Tre Johnson,WAS,59,24.0,320.6,4.4,44.6,2.4,15.2,-9.0,220.6,6.2,40.2,-5.8,12.1,2.8,2.0
Paolo Banchero,ORL,70,34.7,574.0,4.3,139.9,3.7,56.2,-0.8,281.9,6.1,95.9,0.8,22.2,8.3,5.2
Julian Champagnie,SAS,81,27.7,501.1,4.3,29.1,4.0,7.8,-6.0,387.7,5.8,76.5,-9.2,11.2,5.8,1.6
Andrew Wiggins,MIA,68,30.4,452.0,4.2,50.8,1.4,25.4,-8.5,284.5,6.4,91.3,-6.6,15.4,4.8,2.7
Isaiah Joe,OKC,70,21.3,343.3,4.1,32.0,2.7,8.3,-9.5,249.4,5.5,53.5,-5.4,11.1,2.6,1.3
Cooper Flagg,DAL,68,33.6,587.8,4.0,133.1,3.1,45.3,-2.8,341.9,6.4,67.5,-2.4,21.1,6.1,4.5
Donte DiVincenzo,MIN,81,30.4,530.4,3.9,62.3,0.3,12.0,-11.7,402.6,5.4,53.4,-9.9,12.1,4.0,3.8
Max Christie,DAL,75,29.1,505.5,3.9,56.3,1.2,14.9,-10.9,377.5,6.0,56.8,-8.1,12.4,3.2,1.9
LeBron James,LAL,60,33.1,411.2,3.8,89.6,2.7,35.1,-4.7,232.9,5.6,53.6,-5.2,20.9,6.1,7.2
Jalen Johnson,ATL,72,35.2,587.3,3.6,139.1,4.5,52.7,-7.8,306.6,6.5,88.8,-4.3,22.5,10.3,7.9
Jamison Battle,TOR,59,8.4,113.4,3.5,5.5,-1.5,2.0,-16.9,85.3,5.6,20.7,-4.4,3.0,1.5,0.4
Payton Pritchard,BOS,79,32.4,671.9,3.5,186.8,4.3,39.2,-11.2,381.3,5.4,64.7,-7.1,17.0,3.9,5.2
Will Riley,WAS,72,22.0,356.9,3.4,57.0,3.1,16.4,-9.6,233.5,5.3,50.1,-8.7,10.2,2.9,2.0
Saddiq Bey,NOP,71,31.1,545.5,3.3,52.1,0.8,36.2,-3.7,385.7,4.9,71.6,-3.1,17.6,5.6,2.5
Sam Hauser,BOS,78,24.8,494.6,3.3,30.6,0.8,4.0,-16.9,374.7,5.1,85.3,-13.3,9.2,3.8,1.5
Dru Smith,MIA,68,16.3,249.6,3.2,46.5,-0.3,13.4,-13.8,142.3,6.3,47.4,-9.9,5.6,2.5,2.6
Caris LeVert,DET,58,19.3,285.5,3.1,64.6,1.7,14.4,-12.6,166.7,6.0,39.8,-8.5,7.5,2.0,2.7
Collin Sexton,CHI,68,23.7,391.1,3.1,106.2,3.1,25.0,-12.0,220.2,5.4,39.7,-6.3,15.4,2.3,3.3
Will Richard,GSW,68,19.9,333.1,3.0,22.0,-3.4,5.5,-21.1,249.2,5.0,56.4,-14.9,6.5,2.5,1.4
Bub Carrington,WAS,81,27.6,515.7,3.0,137.8,1.6,16.7,-16.2,323.3,5.3,37.9,-11.4,10.7,3.4,4.6
Mikal Bridges,NYK,79,32.8,692.1,2.9,86.5,2.2,29.0,-14.7,467.1,5.0,109.5,-9.7,14.5,3.9,3.7
Daniss Jenkins,DET,71,20.4,354.7,2.9,116.9,2.7,22.2,-13.6,180.2,5.6,35.5,-10.3,9.5,2.3,3.9
Jabari Smith Jr.,HOU,77,35.1,668.2,2.9,47.1,2.0,18.9,-4.3,500.2,3.6,102.0,-4.2,15.8,6.9,1.9
Khris Middleton,DAL,62,22.8,307.8,2.9,43.4,2.1,22.3,-7.3,183.9,5.8,58.2,-5.3,10.2,3.6,2.8
VJ Edgecombe,PHI,75,35.0,588.8,2.8,124.8,0.2,22.2,-4.5,375.3,4.1,66.5,-3.9,16.0,5.6,4.2
Craig Porter Jr.,CLE,63,17.9,259.8,2.8,43.9,3.0,12.6,-19.0,164.8,5.5,38.5,-13.6,4.6,3.5,3.2
Rob Dillingham,CHI,64,15.0,202.7,2.8,48.6,3.1,15.3,-11.4,119.0,4.9,19.8,-8.2,6.3,2.0,2.2
Jared McCain,OKC,67,17.4,269.2,2.8,44.7,2.0,10.9,-10.5,190.0,3.7,23.5,-7.4,8.3,2.0,1.3
Jordan Clarkson,NYK,68,17.8,340.2,2.8,35.7,2.0,15.0,-9.9,231.1,4.3,58.5,-10.2,8.5,1.8,1.4
Brandin Podziemski,GSW,82,28.5,560.1,2.7,121.5,-0.0,28.6,-19.1,335.9,6.6,74.1,-12.2,13.8,5.1,3.7
Jeremiah Fears,NOP,81,25.6,513.1,2.6,143.0,1.1,33.3,-11.1,284.1,5.4,52.8,-6.6,14.2,3.6,3.4
Ja'Kobe Walter,TOR,70,20.5,340.0,2.5,21.9,-1.8,5.9,-0.7,243.9,3.2,68.2,-1.3,7.6,2.6,1.2
Gradey Dick,TOR,72,14.2,256.9,2.5,17.5,-0.6,7.5,-4.8,197.2,4.3,34.6,-8.6,6.2,1.9,0.7
Immanuel Quickley,TOR,68,32.0,569.8,2.4,157.1,2.5,29.8,-13.5,322.9,4.9,60.1,-10.2,16.5,4.1,5.9
Zion Williamson,NOP,61,30.0,429.6,2.4,66.2,1.6,43.6,0.9,167.2,3.7,152.6,4.4,21.3,5.8,3.2
Anthony Black,ORL,62,30.0,454.6,2.3,86.5,-0.2,19.1,-12.2,297.8,4.6,51.1,-8.9,15.0,3.8,3.8
Jaylen Wells,MEM,68,26.4,422.7,2.2,44.2,2.3,17.4,-9.8,308.9,3.4,52.1,-5.9,12.6,3.2,1.6
Collin Gillespie,PHX,80,28.5,554.7,2.2,129.7,-1.4,23.5,-19.8,343.6,5.2,57.9,-12.4,12.7,4.1,4.6
Gary Trent Jr.,MIL,63,21.4,365.4,2.1,32.6,-0.4,4.8,-6.8,300.6,2.9,27.4,-5.0,8.1,1.0,1.2
Karl-Anthony Towns,NYK,72,31.0,600.6,2.0,72.3,5.6,42.0,-5.4,244.4,8.0,242.0,-4.2,20.2,11.9,3.0
Bones Hyland,MIN,69,16.9,252.4,1.9,72.5,0.5,8.8,-14.8,149.2,3.8,21.9,-13.0,8.7,1.8,2.7
Walter Clayton Jr.,MEM,68,20.5,317.9,1.9,88.0,0.2,18.4,-17.8,187.9,5.2,23.6,-12.7,7.9,2.0,4.0
Pelle Larsson,MIA,69,26.5,378.6,1.8,48.5,-3.9,17.3,-13.7,192.5,4.0,120.3,-11.6,11.4,3.5,3.4
Ryan Rollins,MIL,73,32.0,588.4,1.8,164.1,3.9,37.5,-15.6,332.1,4.0,54.7,-14.5,17.2,4.5,5.5
Chet Holmgren,OKC,68,28.9,453.6,1.7,36.0,2.1,30.0,-8.4,255.6,4.6,131.9,-5.3,17.2,8.9,1.7
Toumani Camara,POR,82,33.3,647.5,1.7,60.7,-2.0,21.5,-12.3,456.7,3.6,108.6,-10.3,13.4,5.1,2.5
Pat Spencer,GSW,64,18.9,293.4,1.6,82.5,-0.4,18.4,-21.0,150.7,7.3,41.7,-16.6,7.3,2.4,3.5
